index,area,ave0,ave1,ave2,int0,int1,int2,std0,std1,std2,sort
0_238,868,0.198244,-0.32423,0.0705596,172.076,-281.431,61.2458,0.260961,0.442155,0.23491,0
0_239,1194,0.0958633,-0.289383,0.159612,114.461,-345.523,190.576,0.196082,0.333617,0.229948,1
0_240,680,0.0101515,-0.0306665,0.034753,6.90301,-20.8532,23.632,0.0410372,0.139242,0.058348,1
0_241,0,0,0,0,0,0,0,0,0,0,0
0_242,0,0,0,0,0,0,0,0,0,0,0
0_243,919,0.136842,-0.271473,0.0856007,125.757,-249.484,78.6671,0.160579,0.28097,0.150683,0
0_244,634,0.0149362,-0.113889,0.133054,9.46957,-72.2057,84.3566,0.0738285,0.196994,0.116316,1
0_245,279,0.00981353,0.002207,0.0309773,2.73798,0.615754,8.64266,0.0661257,0.232747,0.0931558,0
0_246,1220,0.220034,-0.36397,0.129858,268.442,-444.044,158.426,0.244466,0.392909,0.195014,0
0_247,0,0,0,0,0,0,0,0,0,0,0
0_248,829,0.151956,-0.146772,0.0559921,125.972,-121.674,46.4175,0.131888,0.212939,0.104367,0
0_249,827,0.180237,-0.251549,0.0940708,149.056,-208.031,77.7965,0.209497,0.349845,0.196918,0
0_250,945,0.110496,-0.224891,0.0980708,104.419,-212.522,92.6769,0.217027,0.330445,0.217835,0
0_251,1235,0.0876499,-0.254834,0.146917,108.248,-314.72,181.442,0.157984,0.291606,0.182141,1
0_252,1053,0.109831,-0.143813,0.0610014,115.652,-151.435,64.2345,0.160391,0.25502,0.151005,0
0_253,0,0,0,0,0,0,0,0,0,0,0
0_254,1284,0.0593094,-0.117969,0.114312,76.1532,-151.473,146.776,0.121963,0.297314,0.201537,1
0_255,1012,0.113207,-0.146077,0.0542019,114.566,-147.83,54.8523,0.160529,0.258639,0.129659,0
0_256,785,0.141079,-0.390682,0.160813,110.747,-306.686,126.238,0.210023,0.402189,0.243006,0
0_257,685,0.0610882,-0.104974,0.0250892,41.8454,-71.9071,17.1861,0.0762722,0.170251,0.0596407,0
