index,area,ave0,ave1,ave2,int0,int1,int2,std0,std1,std2,sort
0_183,341,-0.00493319,0.0155965,0,-1.68222,5.3184,0,0.105785,0.0446173,0,0
0_184,667,-0.00432157,0.0239373,0,-2.88249,15.9662,0,0.0952665,0.028879,0,0
0_185,293,0.0272333,0.0205154,0,7.97937,6.01103,0,0.0856543,0.0279335,0,0
0_186,292,0.043484,0.0192687,0,12.6973,5.62646,0,0.091164,0.0342594,0,0
0_187,539,-0.00846251,0.0188272,0,-4.5613,10.1479,0,0.0871316,0.0305249,0,0
0_188,778,-0.0676464,0.0509404,0,-52.6289,39.6316,0,0.225172,0.104748,0,0
0_189,237,0.01811,0.0112785,0,4.29206,2.673,0,0.0721069,0.0244325,0,0
0_190,392,-0.00108753,0.0304922,0,-0.426313,11.9529,0,0.085257,0.0318453,0,0
0_191,679,0.00451416,0.0188424,0,3.06512,12.794,0,0.0811692,0.0304513,0,0
0_192,447,0.0283753,0.019391,0,12.6837,8.66777,0,0.0964224,0.033252,0,0
0_193,541,0.0227809,0.0214403,0,12.3245,11.5992,0,0.085219,0.0305332,0,0
0_194,473,0.00497447,0.0250574,0,2.35292,11.8522,0,0.0936931,0.0300251,0,0
0_195,101,0.0106528,0.0136673,0,1.07593,1.3804,0,0.084094,0.0300455,0,0
0_196,137,0.0242814,0.0178359,0,3.32655,2.44351,0,0.0835452,0.0235475,0,0
0_197,344,0.0577455,0.0164804,0,19.8645,5.66926,0,0.178338,0.0561831,0,0
0_198,415,0.0134699,0.0270398,0,5.59002,11.2215,0,0.0889074,0.0318509,0,0
0_199,220,0.0327586,0.0210115,0,7.20689,4.62252,0,0.0811844,0.0288879,0,0
0_200,591,0.00552648,0.0110029,0,3.26615,6.5027,0,0.0848531,0.0271484,0,0
0_201,242,0.0358858,0.0240156,0,8.68436,5.81177,0,0.0840997,0.0297948,0,0
0_202,26,0.0503179,0.0230351,0,1.30827,0.598913,0,0.0818221,0.0302037,0,0
0_203,423,-0.0157737,0.0358436,0,-6.67226,15.1619,0,0.0887754,0.0341504,0,0
0_204,865,-0.011465,0.0203127,0,-9.91719,17.5705,0,0.0861249,0.037649,0,0
0_205,0,0,0,0,0,0,0,0,0,0,0
0_206,458,0.0331814,0.0167031,0,15.1971,7.65004,0,0.0859122,0.0302781,0,0
0_207,69,0.0841021,0.0182273,0,5.80304,1.25769,0,0.103912,0.0319676,0,0
0_208,948,0.000174949,0.01849,0,0.165851,17.5285,0,0.0835873,0.0352656,0,0
0_209,321,0.0346664,0.0144279,0,11.1279,4.63136,0,0.0953108,0.0344393,0,0
0_210,487,-0.00250307,0.00921564,0,-1.219,4.48802,0,0.0796179,0.0249093,0,0
0_211,385,0.0382352,0.0251695,0,14.7205,9.69027,0,0.091908,0.0308581,0,0
0_212,385,0.0328493,0.00885906,0,12.647,3.41074,0,0.0874454,0.0338394,0,0
0_213,300,0.0345194,0.0106449,0,10.3558,3.19347,0,0.114085,0.0357467,0,0
0_214,348,0.0304157,0.0227116,0,10.5847,7.90364,0,0.107612,0.0310998,0,0
0_215,0,0,0,0,0,0,0,0,0,0,0
0_216,558,0.00605885,0.0288801,0,3.38084,16.1151,0,0.0918772,0.0300168,0,0
0_217,40,-0.0185717,0.00939471,0,-0.742868,0.375789,0,0.0601985,0.0199713,0,0
0_218,374,0.0135758,0.0223306,0,5.07735,8.35166,0,0.0885079,0.0296573,0,0
0_219,367,0.0162423,0.0176524,0,5.96094,6.47845,0,0.0872682,0.0292795,0,0
0_220,31,-0.00296509,0.0279434,0,-0.0919177,0.866247,0,0.0908829,0.0272364,0,0
0_221,1078,-0.00304518,0.0181577,0,-3.2827,19.574,0,0.0882502,0.0300394,0,0
0_222,190,0.024258,0.0236757,0,4.60903,4.49839,0,0.0753371,0.0290029,0,0
0_223,647,0.0157921,0.021078,0,10.2175,13.6375,0,0.0908199,0.0292677,0,0
0_224,647,-0.00020707,0.0343073,0,-0.133974,22.1968,0,0.0832072,0.0305042,0,0
0_225,116,0.0119159,0.0163866,0,1.38225,1.90085,0,0.0774064,0.0242916,0,0
0_226,378,0.0173919,0.0125039,0,6.57415,4.72648,0,0.0768835,0.0262295,0,0
0_227,146,0.0509687,0.0203297,0,7.44144,2.96813,0,0.0940026,0.0314932,0,0
0_228,468,0.0243668,0.0221227,0,11.4037,10.3534,0,0.0870911,0.0322508,0,0
0_229,277,0.00920553,0.0381465,0,2.54993,10.5666,0,0.0849648,0.0317205,0,0
0_230,338,0.0249871,0.0180453,0,8.44563,6.09931,0,0.0837854,0.0288509,0,0
0_231,63,0.0754374,0.00350077,0,4.75256,0.220548,0,0.109539,0.0293536,0,0
0_232,555,0.000707173,0.0307153,0,0.392481,17.047,0,0.0876954,0.0333774,0,0
0_233,119,0.0169466,0.00180076,0,2.01665,0.21429,0,0.0805427,0.0251759,0,0
0_234,245,-0.00754427,0.0344127,0,-1.84835,8.43112,0,0.0809953,0.029967,0,0
0_235,614,0.0382683,0.015625,0,23.4968,9.59376,0,0.0957796,0.031203,0,0
0_236,189,0.0206971,0.0254961,0,3.91174,4.81876,0,0.0823431,0.0277562,0,0
0_237,176,0.00616331,0.0262327,0,1.08474,4.61696,0,0.0734894,0.0266881,0,0
0_238,295,-0.00070806,0.0291148,0,-0.208878,8.58887,0,0.0835776,0.0282222,0,0
0_239,316,0.00543366,0.010906,0,1.71704,3.44629,0,0.0722711,0.0266668,0,0
0_240,645,0.0159104,0.018818,0,10.2622,12.1376,0,0.0966356,0.0363526,0,0
0_241,352,-0.0101277,0.0351846,0,-3.56494,12.385,0,0.0866625,0.0318164,0,0
0_242,778,0.0225734,0.0172719,0,17.5621,13.4375,0,0.0941925,0.0344382,0,0
0_243,681,-0.0049978,0.0201615,0,-3.4035,13.73,0,0.0901973,0.0300954,0,0
0_244,120,0.0133568,0.0128817,0,1.60282,1.54581,0,0.0806704,0.0294145,0,0
0_245,249,-0.000765269,0.0208812,0,-0.190552,5.19942,0,0.0754632,0.0273765,0,0
0_246,101,0.00603853,0.0248535,0,0.609891,2.51021,0,0.0819529,0.0264132,0,0
0_247,527,0.00252906,0.0350411,0,1.33282,18.4667,0,0.0817971,0.0300929,0,0
0_248,2806,-0.0014387,0.00983588,0,-4.037,27.5995,0,0.0848512,0.0274088,0,0
0_249,57,0.0221313,0.0173032,0,1.26149,0.98628,0,0.0850624,0.0268531,0,0
0_250,618,0.0136368,0.0249126,0,8.42752,15.396,0,0.0805777,0.029611,0,0
0_251,208,0.00526546,0.0312943,0,1.09522,6.50922,0,0.0881945,0.0360768,0,0
0_252,614,0.0202617,0.0164707,0,12.4407,10.113,0,0.0953635,0.028956,0,0
0_253,595,0.0183107,0.0213021,0,10.8949,12.6748,0,0.0857042,0.0300253,0,0
0_254,554,0.0264567,0.0232807,0,14.657,12.8975,0,0.0956112,0.0287923,0,0
0_255,281,0.0178671,0.0215242,0,5.02067,6.04829,0,0.0870198,0.0283815,0,0
0_256,303,0.0308978,0.0176204,0,9.36203,5.33899,0,0.0966542,0.0329131,0,0
0_257,91,-0.0113524,0.00140483,0,-1.03307,0.127839,0,0.0712234,0.0234182,0,0
0_258,106,0.00263871,0.0126467,0,0.279703,1.34055,0,0.0661414,0.0248095,0,0
0_259,0,0,0,0,0,0,0,0,0,0,0
0_260,2804,-0.00210952,0.013051,0,-5.91508,36.5951,0,0.0823983,0.0301319,0,0
0_261,189,0.00408097,0.0333011,0,0.771304,6.2939,0,0.0724554,0.0236186,0,0
0_262,533,0.00160931,0.0341529,0,0.85776,18.2035,0,0.0799833,0.0279383,0,0
0_263,512,0.00858372,0.0288124,0,4.39486,14.7519,0,0.0850169,0.0336991,0,0
0_264,721,0.0104934,0.0170403,0,7.56571,12.2861,0,0.0859845,0.0331534,0,0
0_265,590,0.00401911,0.0294043,0,2.37127,17.3485,0,0.0858399,0.0332385,0,0
0_266,771,-0.00243801,0.0238605,0,-1.8797,18.3965,0,0.0890699,0.0291393,0,0
0_267,466,-0.0123194,0.0130835,0,-5.74083,6.09691,0,0.0858254,0.0288425,0,0
0_268,620,0.00405565,0.025548,0,2.5145,15.8397,0,0.0915615,0.0296824,0,0
0_269,455,-0.0145335,0.0255361,0,-6.61272,11.6189,0,0.0945311,0.0276113,0,0
0_270,225,0.000723225,0.0188975,0,0.162726,4.25194,0,0.0779284,0.0255644,0,0
0_271,272,0.0171096,0.0181961,0,4.65382,4.94935,0,0.0835978,0.0259129,0,0
0_272,672,0.0071476,0.0297004,0,4.80319,19.9587,0,0.0856489,0.0278254,0,0
0_273,403,-0.0115408,0.0272708,0,-4.65093,10.9901,0,0.0789815,0.0267305,0,0
0_274,572,0.0266314,0.0230184,0,15.2332,13.1665,0,0.0948371,0.0334295,0,0
0_275,127,0.0433425,0.0248493,0,5.5045,3.15585,0,0.076562,0.0289381,0,0
